what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1270678011255
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1270678011265
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1270678011297
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1270678011329
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1270678011329
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1270678011337
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1270678011363
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1270678011383
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1270678011411
started,bundle,org.eclipse.cdt.core,5.1.1.200909180606,"org.eclipse.cdt.core",1270678011411
started,bundle,org.eclipse.cdt.core.lrparser,5.1.0.200909180606,"org.eclipse.cdt.core.lrparser",1270678011429
started,bundle,org.eclipse.cdt.core.tests,5.1.0.200909180606,"org.eclipse.cdt.core.tests",1270678011482
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909180606,"org.eclipse.cdt.debug.core",1270678011503
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909180606,"org.eclipse.cdt.debug.ui",1270678011504
started,bundle,org.eclipse.cdt.make.core,6.0.0.200909180606,"org.eclipse.cdt.make.core",1270678011546
started,bundle,org.eclipse.cdt.make.ui,6.0.1.200909180606,"org.eclipse.cdt.make.ui",1270678011573
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200909180606,"org.eclipse.cdt.managedbuilder.core",1270678011620
started,bundle,org.eclipse.cdt.managedbuilder.core.tests,5.0.100.200909180606,"org.eclipse.cdt.managedbuilder.core.tests",1270678011668
started,bundle,org.eclipse.cdt.ui,5.1.1.200909180606,"org.eclipse.cdt.ui",1270678011668
started,bundle,org.eclipse.cdt.ui.tests,5.1.0.200909180606,"org.eclipse.cdt.ui.tests",1270678011719
started,bundle,org.eclipse.ptp.core,3.0.0.201002011019,"org.eclipse.ptp.core",1270678011765
started,bundle,org.eclipse.ptp.debug.core,2.1.0.201002011019,"org.eclipse.ptp.debug.core",1270678011783
started,bundle,org.eclipse.ptp.debug.ui,2.1.0.201002011019,"org.eclipse.ptp.debug.ui",1270678011783
started,bundle,org.eclipse.ptp.rdt.core,1.1.0.201002011019,"org.eclipse.ptp.rdt.core",1270678011818
started,bundle,org.eclipse.ptp.rdt.ui,1.1.0.201002011019,"org.eclipse.ptp.rdt.ui",1270678011831
